lastfm_url,track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre,text
https://www.last.fm/music/owl%2bcity/_/early%2bbirdie,Early Birdie,Owl City,['dreamy'],8,7.446323529411765,3.921617647058823,6.65235294117647,1317813f-6f98-47c9-a509-3a6adaa34a79,4syrAYAtNXEFK2i9dayg5g,electronic,"Good evening shuttle bus  
Tell me where you're gonna take us  
Someplace that I have never been  
It's chic transportation to  
New destination where  
I leave my reflection on the glass  
I'd ask but we don't know  
How far these interstates go  
Or how deep the city routes go down  
In chilly subdepth railways  
The weathered concrete stairways  
Provide me with the means of getting home  
If I ever leave  
  
(On crystal sand we sleep hand in hand while soothing words)  
  
So many sights to see  
So wake up like an early birdie  
And we'll get a head start on the day  
Oh, stained glass skyways  
And crowded six lane highways  
If I look back when I begin to leave  
Will they remember me?  
  
Circuit flights bend the light when I am spent  
And tour guides make happy brides through heaven soon  
  
Good evening shuttle bus  
Tell me where you're gonna take us  
  
(On crystal sand we sleep hand in hand  
While soothing words)  
  
On crystal sand we sleep hand in hand  
While soothing words hover like humming birds  
  
Good, good evening shuttle bus  
Tell me where you're gonna take us

"
https://www.last.fm/music/morrissey/_/jack%2bthe%2bripper,Jack The Ripper,Morrissey,"['stylish', 'literate', 'bittersweet', 'autumnal']",9,4.021447368421053,3.7406578947368425,3.8505263157894736,e30c7751-d057-4641-a8c7-10fa856f8015,4OdPDkj0lmvfcPaQHas77n,british,"Oh, you look so tired  
Mouth slack and wide  
Ill-housed and ill-advised  
Your face is as mean  
As your life has been  
  
Crash into my arms  
I want you  
You don't agree  
But you don't refuse  
I know you  
  
And I know a place  
Where no one is likely to pass  
Oh, you don't care if it's late  
And you don't care if you're lost  
And oh, you look so tired  
(But tonight you presume too much)  
Too much, too much  
And if it's the last  
Thing I ever do  
I'm gonna get you  
  
Crash into my arms  
I want you  
You don't agree  
But you don't refuse  
I know you  
  
Crash into my arms  
I want you  
You don't agree  
But you don't refuse  
I know you  
Oh...  
  
Thank you.

"
https://www.last.fm/music/fiona%2bapple/_/the%2bfirst%2btaste,The First Taste,Fiona Apple,['sexy'],16,7.058786127167629,4.963988439306358,6.1622543352601165,8f8fa70f-3fa8-4811-86a5-b8e5fcad8ece,21Xc8hEIzv81jwiftI4hJB,alternative,"I lie in an early bed  
Thinking late thoughts  
Waiting for the black to replace my blue  
I do not struggle in your web  
Because it was my aim to get caught  
But daddy longlegs  
I feel that I'm finally growing weary  
Of waiting to be consumed by you  
  
Give me the first taste  
Let it begin, heaven can not wait forever  
Darling just start the chase  
I'll let you win  
But you must make the endeavor  
  
Oh, your love give me a heart contusion  
Adagio breezes fill my skin with sudden red  
Your hungry flirt borders intrusion  
I'm building memories on things we have not said  
Full is not heavy as empty,  
Not nearly my love,  
Not nearly my love  
Not nearly  
  
Give me the first taste  
Let it begin, heaven cannot wait forever  
Darling just start the chase  
I'll let you win  
But you must make the endeavor

"
https://www.last.fm/music/gloria%2bestefan/_/don%2527t%2blet%2bthis%2bmoment%2bend,Don't Let This Moment End,Gloria Estefan,['flashy'],6,6.201666666666667,4.99,5.926666666666667,,,dance,"Kiss me  
Hold me  
Touch me  
Don't let this moment end  
Please, don't let this moment end  
At least 'til once again  
Our hearts can be together  
Please, I've never let you go  
But still I need to know  
This night will last forever  
Oh please  
You know you own my heart  
Just tell me where to start  
Don't make me wait much longer  
Oh please  
I know tonight's the night  
It never felt so right  
Just hold me in your arms and  
Kiss me  
Hold me  
Touch me  
Don't let this moment end  
Please, I'm begging you to stay  
Just throw the world away  
Pretend there's no tomorrow  
And I will never leave your side  
Never let this feeling die  
Just let our love grow stronger  
Oh please  
You know you own my heart  
Just tell me where to start  
Don't make me wait much longer  
Oh please  
I know tonight's the night  
It never felt so right  
Just hold me in your arms and  
Kiss me  
Hold me  
Touch me  
Don't let this moment end  
Can we make this moment last forever?  
Tell me if you feel the way I do  
Ohh  
Don't let this moment end  
Never end  
Please  
You know you own my heart  
Just tell me where to start  
Don't make me wait much longer  
Oh please  
I know tonight's the night  
It never felt so right  
Just hold me in your arms and  
Kiss me  
Hold me  
Touch me  
Don't let this moment end  
Oh please  
I know tonight's the night  
It never felt so right  
Just hold me in your arms and kiss me  

"
https://www.last.fm/music/everlast/_/gone%2bfor%2bgood,Gone For Good,Everlast,['positive'],3,7.0175,4.5975,6.5475,025f265a-bc42-4048-b078-2cbb6cf11850,24wNtuJ0GmqwQaCccI8aJc,hip-hop,"I was foolish cause I loved her so  
Never put no one else above her no  
She put it on me like no other did before  
Now she telling me that she wants to go  
  
She said she got dreams and she want back flights  
She said that she can act and she wants to sign  
Wants to build herself a rep make herself a name  
I tell you girl game recognizes game  
  
And I'll be good when you're gone for ever  
And I'll be fine when you're gone for good  
And I'll be good when you're gone for ever  
And I'll be fine when you're gone for good  
For good  
Gone for good  
  
You say you wanna be loved but wouldn't teach me how  
Girl I don't even know how to reach you now  
You say you wanna love but wouldn't speak no vow  
Girl you ain't the one that can break me down  
  
Take all of my love and the you spread it around  
Girl I don't even know how to greet you now  
I hope maybe you choke I hope maybe you drown  
I said ""Hey Joe, I heard you shot your lady down""  
  
And I'll be good when you're gone for ever  
And I'll be fine when you're gone for good  
And I'll be good when you're gone for ever  
And I'll be fine when you're gone for good  
For good  
Gone for good  
  
Gone for good  
Gone for good

"
https://www.last.fm/music/owl%2bcity/_/fuzzy%2bblue%2blights,Fuzzy Blue Lights,Owl City,"['dreamy', 'bittersweet']",8,6.243061224489796,4.385238095238096,5.3474829931972785,9981b8e4-6489-43b4-91bb-a8fc9449964a,6jxoPDcC6Fj6QNk02pZFBI,electronic,"If I could look across the country  
From California to New Jersey  
Then I would count the parks and lake resorts  
And number all the jets and airports  
All those rather dreary rain clouds still bother me  
'cause I look through the camera eyepiece and cannot see  
If I could open up my window  
And see from Tampa Bay to Juneau  
Then I would survey all those open miles  
And line them up in single file  
Everywhere I look I see green scenic sublime  
And all those oceanic vistas are so divine  
If I was standing on the balcony  
And you were walking down below  
I'd feel rather depressed and out of place  
And lonely just to watch you go  
If you were swinging from the highway overpass  
Within the western hemisphere  
I'd feel rather afraid and insincere  
If you began to disappear  
If I was walking through a sad art gallery  
And you were driving through the night  
I'd feel rather alone and ill at ease  
Beneath the brilliant showroom light  
If I was flying on a plane above your town  
And you were gazing at the sky  
Somehow I'd feel intact and reassured  
If you began to wave goodbye  

"
https://www.last.fm/music/ella%2bfitzgerald/_/all%2bthrough%2bthe%2bnight,All Through The Night,Ella Fitzgerald,['smooth'],4,7.144000000000001,3.877,6.29,6540f3e4-4f0d-4eb2-b7f9-34c4bb91c465,3SzFMhHBt7bw0eS35946N6,jazz,"The day is my enemy, the night my friend,  
For I'm always so alone  
Till the day draws to an end.  
But when the sun goes down  
And the moon comes through,  
To the monotone of the evening's drone  
I'm all alone with you.  
  
All through the night,  
I delight in your love,  
All through the night, you're so close to me.  
All through the night, from a height far above,  
You and your love brings me ecstasy.  
  
When dawn comes to waken me  
You're never there at all.  
I know you've forsaken me,  
Till the shadows fall.  
But then once again  
I can dream,  
I've the right  
To be close to you  
All through the night.

"
https://www.last.fm/music/joni%2bmitchell/_/at%2blast,At Last,Joni Mitchell,['calm'],1,6.89,1.67,7.44,b0cb2655-5b9c-4d78-850d-27caa8049887,0fJ561ClK3pIJBr0c6dtUX,jazz,"At last, my love has come along  
My lonely days are over, and life is like a song  
At last, the skies above are blue  
My heart was wrapped in clover  
The night I looked at you  
  
I found a dream that I could speak to  
A dream that I could call my own  
I found a thrill to press my cheek to  
A thrill I'd never known  
You smiled, and then the spell was cast  
And here we are in Heaven, for you are mine at last.  
  
I found a dream that I could speak to,  
A dream that I could call my own  
I found a thrill to press my cheek to  
A thrill that I had never known  
You smiled, and then the spell was cast  
And here we are in Heaven  
For you are mine at last.

"
https://www.last.fm/music/josh%2bgroban/_/you%2bare%2bloved%2b%2528don%2527t%2bgive%2bup%2529,You Are Loved (Don't Give Up),Josh Groban,['powerful'],11,6.362954545454545,4.912727272727273,5.489090909090909,94931a83-c4d0-4236-9a5b-38da3f3acf5f,4ETPEEP8uDsD66ooEINjHK,easy listening,"Don't give up  
It's just the weight of the world  
When your heart's heavy  
I, I will lift it for you  
  
Don't give up  
Because you want to be heard  
If silence keeps you  
I, I will break it for you  
Everybody wants to be understood  
  
Well, I can hear you  
Everybody wants to be loved  
Don't give up  
Because you are loved  
Don't give up  
It's just the hurt that you hide  
  
When you're lost inside  
I, I'll be there to find you  
Don't give up  
Because you want to burn bright  
If darkness blinds you  
I, I will shine to guide you  
Everybody wants to be understood  
  
Well, I can hear you  
Everybody wants to be loved  
Don't give up  
Because you are loved  
You are loved  
  
Ah!  
Don't give up  
It's just the weight of the world  
Don't give up  
Everyone needs to be heard  
You are loved

"
https://www.last.fm/music/roxy%2bmusic/_/just%2blike%2byou,Just Like You,Roxy Music,"['elaborate', 'bittersweet']",5,5.593999999999999,4.158,5.648,6039be6a-5329-420d-be60-255503495da0,1pNK3a7lUzNsFZvMdvZ2BI,rock,"Buttercup daisies  
And most anything  
They wither and fade  
After blossom in Spring  
Time conquers innocence  
Pride takes a fall  
In knowledge lies wisdom  
That's all  
  
Everything changes  
Weather blows hot or cold  
Through alchemy iron turns gold  
Quicksilver baby  
So hard to pin down  
Oh when are you coming around?  
Hopelessly grounded  
I walk through the streets  
Remembering how we spent time  
Hopefully yearning that someday we'll meet  
But when will we, how could we, why? Oh my!  
  
Fashion houses ladies  
Need plenty loose change  
When the latest creation  
Is last year's fab-rave  
Thought patterns hazy  
This auto-style age  
Will lady luck smile old and sage?  
She knows that,  
Never again, no, will I give up my heart  
To gamble with fate is my crime  
  
Nevertheless love, it's all here in my book  
I'd write it but don't have much time  
You see, I know it sounds crazy  
But what can I do?  
I've fallen head over heels, over you  
Chameleon color  
  
All phases of moon  
The shifting of planets  
And leopard spots too  
As destiny wills it  
So seasons will change  
Just like you

"
